,Year_Birth,Income,Kidhome,Teenhome,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Spent,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Absurd,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO
10,1964.384615,53096.615385,0.403846,0.730769,44.884615,2.75,4.557692,2.711538,5.942308,5.5,0.153846,0.096154,0.038462,0.019231,0.019231,0.0,0.346154,632.865385,0.0,0.0,0.0,-0.0,1.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0,0.0
11,1969.380952,51739.761905,0.428571,0.444444,45.174603,2.047619,3.857143,2.587302,5.634921,5.539683,0.063492,0.063492,0.047619,0.079365,0.015873,0.031746,0.15873,588.730159,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.349206,-0.0,0.571429,-0.0,0.079365,-0.0
12,1966.8125,52223.424107,0.419643,0.607143,53.535714,2.383929,4.107143,2.580357,5.758929,5.544643,0.080357,0.035714,0.017857,0.017857,0.0,0.008929,0.116071,555.330357,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0
13,1965.524752,51466.381188,0.415842,0.574257,49.594059,2.623762,4.049505,2.445545,5.663366,5.178218,0.059406,0.059406,0.059406,0.019802,0.009901,0.0,0.108911,544.237624,0.0,-0.0,0.0,1.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,1.0,0.0,-0.0
14,1972.443299,48835.247423,0.443299,0.438144,54.57732,2.268041,3.649485,2.371134,5.556701,5.262887,0.056701,0.041237,0.015464,0.010309,-0.0,0.010309,0.0,507.185567,0.0,-0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,-0.0,0.0
15,1967.124031,51193.124031,0.496124,0.620155,44.79845,2.643411,3.868217,2.24031,5.744186,5.310078,0.077519,0.062016,0.007752,0.031008,0.0,0.007752,0.062016,482.96124,0.0,-0.0,0.0,1.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0
16,1965.418919,49811.175676,0.486486,0.675676,55.067568,2.189189,4.067568,2.135135,5.378378,5.175676,0.040541,0.027027,0.013514,0.040541,-0.0,0.0,0.0,448.135135,-0.0,-0.0,0.0,0.0,1.0,-0.0,0.0,0.0,-0.0,0.891892,-0.0,0.094595,0.013514
17,1973.381818,44052.963636,0.527273,0.418182,51.818182,2.763636,3.836364,2.254545,5.490909,5.636364,0.054545,0.036364,0.018182,-0.0,-0.0,0.018182,0.036364,440.4,1.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,0.0,0.0
18,1973.063291,45563.810127,0.493671,0.392405,49.303797,2.139241,3.493671,2.088608,5.43038,5.341772,0.088608,0.012658,0.037975,0.088608,0.0,0.012658,0.088608,422.898734,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,1.0,0.0,-0.0,0.0,-0.0
19,1967.139535,42417.366279,0.848837,0.569767,46.0,2.767442,2.732558,0.825581,3.755814,6.372093,0.05814,0.011628,-0.0,-0.0,-0.0,0.0,0.116279,162.674419,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0
20,1970.132867,37438.765734,0.888112,0.559441,53.328671,2.692308,2.762238,0.699301,3.573427,6.587413,0.020979,0.027972,-0.0,-0.0,-0.0,0.006993,0.076923,160.573427,0.0,-0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,-0.0
21,1973.785047,34089.294393,0.850467,0.397196,48.28972,2.504673,2.700935,0.780374,3.434579,6.714953,0.065421,0.0,0.0,0.0,-0.0,0.018692,0.088785,146.28972,0.0,-0.0,1.0,-0.0,-0.0,0.0,0.004673,0.0,0.995327,0.0,-0.0,-0.0,0.0
22,1977.462963,20306.259259,0.62963,0.092593,48.444444,1.796296,1.888889,0.481481,2.851852,6.87037,0.111111,0.0,0.0,-0.0,0.0,0.0,0.037037,81.796296,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.018519,0.37037,0.333333,0.259259,0.018519,0.0
